DEMA,ADX_TF,ADX_Thresh,Trades,WinRate,NetProfit,AnnReturn,ProfitFactor,MaxDD,Sharpe,FinalEquity
200,30m,35.0,605,34.38%,439.5633634658077,+7.53%,1.11720607066716,-34.26%,0.1369651041443426,1439.5633634658063
200,30m,25.0,1026,29.73%,381.0244360851194,+6.64%,1.0530694307289936,-49.95%,0.049897437507298595,1381.0244360851163
200,1h,25.0,927,27.18%,305.89804817093,+5.46%,1.0419728924894396,-66.26%,0.04114995657339955,1305.8980481709305
200,30m,40.0,447,34.45%,297.043546109513,+5.32%,1.1226250292693876,-31.37%,0.17046754204135192,1297.0435461095137
150,1h,25.0,952,26.37%,295.75391953457336,+5.29%,1.0405243197373888,-66.96%,0.03910614663533313,1295.7539195345742
200,1h,35.0,532,27.26%,282.98923337042135,+5.09%,1.068614404437549,-39.77%,0.0928627518106957,1282.9892333704224
150,30m,35.0,617,33.87%,280.40791059967825,+5.05%,1.0725264952483418,-37.42%,0.08615799204305749,1280.4079105996773
150,30m,40.0,454,34.14%,262.8784606602901,+4.76%,1.1066597795096806,-32.24%,0.14863854541421895,1262.8784606602915
150,1h,30.0,726,28.79%,258.6011453082179,+4.69%,1.0449587406944354,-43.21%,0.050567589852610326,1258.6011453082178
100,30m,25.0,972,28.81%,239.302523749125,+4.37%,1.036632498085829,-74.12%,0.035837055372884376,1239.3025237491245
250,30m,35.0,600,34.00%,235.4293245761127,+4.30%,1.0638386387397938,-38.49%,0.08005390157697728,1235.429324576111
250,30m,40.0,449,34.30%,233.3125537245558,+4.26%,1.0938488661332182,-32.46%,0.1333819158077506,1233.312553724557
100,30m,40.0,459,33.55%,164.83687154801302,+3.09%,1.0659487480520764,-36.54%,0.09307002707929787,1164.8368715480144
250,1h,35.0,523,27.34%,155.22196513675703,+2.92%,1.038266718875136,-41.45%,0.053076894372867986,1155.2219651367573
100,30m,35.0,638,33.39%,115.35291302101533,+2.20%,1.0290491716572652,-42.58%,0.03527467710606947,1115.3529130210143
200,1h,40.0,362,28.45%,114.83199668905013,+2.19%,1.0415815174209095,-45.91%,0.06412616785087391,1114.8319966890497
250,1h,40.0,358,28.49%,107.02423224988445,+2.05%,1.0389869978503705,-46.08%,0.060531318715948225,1107.024232249884
250,1h,25.0,763,26.08%,87.66164789351654,+1.69%,1.0147490507692778,-76.89%,0.016342369292425968,1087.6616478935164
100,1h,30.0,760,28.42%,65.20027508337643,+1.27%,1.0115589574580757,-54.77%,0.012829606364981996,1065.2002750833763
200,1h,30.0,706,28.33%,50.6467678516895,+0.99%,1.009163233953596,-52.48%,0.010682429652726937,1050.6467678516883
100,1h,40.0,373,29.22%,18.961475119976797,+0.37%,1.0069600534103063,-42.20%,0.011194992996815542,1018.9614751199767
150,1h,40.0,365,28.77%,-15.265855459860518,-0.31%,0.9943725752728656,-47.86%,-0.00880196715093134,984.7341445401396
150,30m,25.0,918,29.08%,-19.61482076750812,-0.39%,0.99682646487934,-76.57%,-0.003210813154682134,980.385179232492
150,1h,35.0,546,27.29%,-87.86765576403639,-1.81%,0.9789134134558892,-46.08%,-0.02942713621529163,912.1323442359659
100,1h,25.0,872,26.61%,-112.15826991048385,-2.34%,0.9822760103646021,-71.97%,-0.01881006044505013,887.8417300895165
250,30m,25.0,880,29.66%,-118.30030306248534,-2.48%,0.9802658862251582,-71.78%,-0.021139711325984765,881.6996969375132
250,1h,30.0,691,27.79%,-258.67626950317504,-5.79%,0.9502999823106262,-56.13%,-0.06118896114396357,741.3237304968245
100,1h,35.0,563,27.18%,-268.70647646270123,-6.04%,0.9352864259292714,-55.58%,-0.09202303497615187,731.2935235372986
150,30m,30.0,854,31.62%,-429.83362820606015,-10.58%,0.9234708813157101,-64.81%,-0.08753388115756182,570.1663717939389
200,1h,20.0,567,28.57%,-446.90185766174216,-11.12%,0.896394158940085,-76.99%,-0.15192834425958762,553.0981423382585
