DEMA,ADX_TF,ADX_Thresh,Trades,WinRate,NetProfit,AnnReturn,ProfitFactor,MaxDD,Sharpe,FinalEquity
150,30m,30.0,973,33.61%,860.8143465269021,+13.16%,1.1440945189957643,-27.09%,0.15696261604450307,1860.8143465268972
100,30m,30.0,988,32.79%,729.9481363982861,+11.53%,1.119502960219892,-34.77%,0.12680842269786924,1729.9481363982818
150,30m,40.0,529,32.14%,638.644030939236,+10.33%,1.2329122957802259,-17.37%,0.3847631007344688,1638.6440309392374
250,30m,40.0,523,32.50%,629.8771434341476,+10.22%,1.2289260548792456,-15.07%,0.383367525362923,1629.8771434341506
100,30m,40.0,525,31.81%,621.2799804209494,+10.10%,1.2285144291766565,-17.75%,0.37880113961665723,1621.2799804209508
250,30m,35.0,712,36.66%,593.6083463483168,+9.72%,1.140934915580607,-38.73%,0.19008678715913496,1593.6083463483158
100,1h,40.0,453,32.67%,564.0834011817926,+9.32%,1.1758106488548279,-25.43%,0.33967220093115574,1564.083401181795
250,30m,30.0,935,33.80%,557.2846768491775,+9.22%,1.091204820394801,-44.58%,0.09912980214437167,1557.2846768491759
150,1h,40.0,439,32.80%,543.4460713783196,+9.03%,1.173749377542963,-24.51%,0.3453853840672241,1543.446071378322
150,30m,35.0,730,36.30%,513.4867184092387,+8.60%,1.125032697179524,-44.14%,0.181995784092719,1513.4867184092388
200,30m,40.0,524,31.87%,508.92234621813867,+8.54%,1.1855984688690349,-19.13%,0.3167992747345581,1508.9223462181399
250,1h,40.0,434,32.72%,507.14934567747224,+8.51%,1.1615440989746146,-24.51%,0.3264156551787642,1507.1493456774742
200,1h,40.0,434,32.49%,502.7677770581147,+8.45%,1.1610093050399033,-24.51%,0.3242900792416678,1502.7677770581165
100,30m,35.0,740,35.95%,499.9245888610808,+8.41%,1.1189778108077784,-45.11%,0.17314589213382586,1499.9245888610812
200,30m,35.0,724,36.46%,408.0145592439875,+7.05%,1.095872781250857,-53.65%,0.13100627754549285,1408.0145592439867
200,30m,30.0,948,33.33%,332.6156981944423,+5.88%,1.0533910978051833,-46.97%,0.059152325871683516,1332.6156981944384
200,1h,30.0,879,31.06%,231.1459441400182,+4.23%,1.035183450699535,-38.27%,0.05199677928502319,1231.1459441400202
250,1h,25.0,1112,30.40%,128.23993417023348,+2.43%,1.0156000170067359,-49.00%,0.02060139092593588,1128.239934170232
200,1h,35.0,610,30.00%,107.14961329484518,+2.05%,1.0231817051140288,-37.65%,0.04190539753984853,1107.1496132948464
250,1h,30.0,866,30.48%,103.41242733766137,+1.98%,1.0158585824775896,-42.01%,0.023825041072748545,1103.4124273376638
150,1h,30.0,915,30.93%,81.93473400431806,+1.58%,1.0122374955696787,-41.82%,0.017946690722289098,1081.9347340043205
150,1h,35.0,616,29.71%,-7.785194040596508,-0.16%,0.9983345952584485,-37.87%,-0.003005959055852131,992.2148059594028
250,1h,35.0,605,29.59%,-49.80942420644092,-1.01%,0.989176969639485,-41.01%,-0.020037772834860197,950.1905757935591
100,1h,35.0,628,28.82%,-70.13582703646401,-1.44%,0.9847823914107843,-38.01%,-0.02725262854813748,929.8641729635359
200,1h,25.0,1031,30.07%,-217.1453736400248,-4.76%,0.9712662467280274,-71.38%,-0.03747827068754347,782.8546263599738
100,1h,30.0,924,29.87%,-251.02834386574585,-5.59%,0.962441178898942,-55.80%,-0.05587119455053506,748.9716561342552
200,1h,20.0,393,30.28%,-446.7618215533564,-11.12%,0.8291813031196915,-74.68%,-0.40890109722533535,553.2381784466436
250,1h,20.0,511,30.72%,-450.1818459571566,-11.23%,0.8887384080027845,-74.94%,-0.1808480985541444,549.8181540428432
100,1h,25.0,833,30.25%,-481.59151014127906,-12.26%,0.9186134282083348,-76.46%,-0.11801811846587279,518.4084898587225
100,1h,20.0,615,27.80%,-486.57645393513,-12.43%,0.8953354804693742,-81.11%,-0.16347954387437877,513.4235460648677
150,1h,20.0,526,29.85%,-487.13345476327754,-12.45%,0.8667129760795939,-72.94%,-0.2778593895807554,512.8665452367221
150,30m,25.0,501,30.54%,-570.1395776212503,-15.48%,0.8507224897262584,-81.49%,-0.23709051046091578,429.8604223787495
150,1h,25.0,646,29.88%,-602.8610282880036,-16.80%,0.8737506719052136,-78.45%,-0.2071692132880536,397.13897171199727
200,30m,25.0,387,27.91%,-629.8915126693398,-17.96%,0.7738216391567713,-79.48%,-0.4309228289221604,370.10848733066047
250,30m,25.0,558,29.93%,-673.8689267339337,-20.00%,0.834351857846543,-75.07%,-0.2617770088065586,326.13107326606575
150,30m,15.0,413,27.60%,-675.7358760089942,-20.09%,0.7716705472504658,-85.96%,-0.5477943821031399,324.26412399100667
100,1h,15.0,534,26.22%,-726.390609771579,-22.75%,0.8239063517581978,-80.32%,-0.3126228662042342,273.6093902284208
100,30m,25.0,512,29.69%,-731.1879419669103,-23.02%,0.8103571132579762,-78.43%,-0.3033742325984663,268.81205803309007
100,30m,15.0,420,26.67%,-765.8068540761038,-25.10%,0.7618835479221301,-83.59%,-0.46356618479323697,234.19314592389628
150,30m,20.0,384,29.69%,-797.7086067827421,-27.26%,0.7118144153382842,-96.67%,-0.6906581280472454,202.2913932172586
100,1h,None,498,27.11%,-810.0892998032134,-28.17%,0.7817664698576178,-88.51%,-0.4268819750396017,189.91070019678688
100,30m,None,498,27.11%,-810.0892998032134,-28.17%,0.7817664698576178,-88.51%,-0.4268819750396017,189.91070019678688
150,1h,15.0,458,27.51%,-851.2029917293571,-31.57%,0.7385056158935738,-91.40%,-0.6186564350906325,148.79700827064363
200,30m,20.0,385,28.57%,-865.4704041192173,-32.93%,0.6891801701167573,-96.55%,-0.7498826657347009,134.5295958807837
100,30m,20.0,422,27.25%,-866.5077665011532,-33.04%,0.7166767028685128,-97.66%,-0.5594599422326081,133.49223349884755
250,30m,20.0,601,31.95%,-876.0492035454563,-34.02%,0.8084533832272168,-96.67%,-0.28413978379832283,123.95079645454263
200,1h,15.0,400,28.50%,-901.1262622166989,-36.92%,0.6952959251316096,-97.47%,-0.754371047584852,98.873737783302
